WordID	Kanji	Onyomi	Kunyomi	English	JLPT Level	Category
442	卵		たまご	egg	N5	Vocabulary
443	誰		だれ	who	N5	Vocabulary
444	誰		だれか	somebody	N5	Vocabulary
445	誕生日		たんじょうび	birthday	N5	Vocabulary
446			だんだん	gradually	N5	Vocabulary
447	小さい		ちいさい	little	N5	Vocabulary
448	小さな		ちいさな	little	N5	Vocabulary
449	近い		ちかい	near	N5	Vocabulary
450	違う		ちがう	to differ	N5	Vocabulary
451	近く		ちかく	near	N5	Vocabulary
452	地下鉄		ちかてつ	underground train	N5	Vocabulary
453	地図		ちず	map	N5	Vocabulary
454	茶色		ちゃいろ	brown	N5	Vocabulary
455			ちゃわん	rice bowl	N5	Vocabulary
456			ちょうど	exactly	N5	Vocabulary
457			ちょっと	somewhat	N5	Vocabulary
458	一日		ついたち	first of month	N5	Vocabulary
459	使う		つかう	to use	N5	Vocabulary
460	疲れる		つかれる	to get tired	N5	Vocabulary
461	次		つぎ	next	N5	Vocabulary
462	着く		つく	to arrive at	N5	Vocabulary
463	机		つくえ	desk	N5	Vocabulary
464	作る		つくる	to make	N5	Vocabulary
465			つける	to turn on	N5	Vocabulary
466	勤める		つとめる	to work for someone	N5	Vocabulary
467			つまらない	boring	N5	Vocabulary
468	冷たい		つめたい	cold to the touch	N5	Vocabulary
469	強い		つよい	powerful	N5	Vocabulary
470	手		て	hand	N5	Vocabulary
471			テープ	tape	N5	Vocabulary
472			テーブル	table	N5	Vocabulary
473			テープレコーダー	tape recorder	N5	Vocabulary
474	出かける		でかける	to go out	N5	Vocabulary
475	手紙		てがみ	letter	N5	Vocabulary
476			できる	to be able to	N5	Vocabulary
477	出口		でぐち	exit	N5	Vocabulary
478			テスト	test	N5	Vocabulary
479			では	with that...	N5	Vocabulary
480			デパート	department store	N5	Vocabulary
481			でも	but	N5	Vocabulary
482	出る		でる	to appear,to leave	N5	Vocabulary
483			テレビ	television	N5	Vocabulary
484	天気		てんき	weather	N5	Vocabulary
485	電気		でんき	electricity,electric light	N5	Vocabulary
